q0 q1 q2 q3 weights
0.98764020 0.00026014 0.15372515 -0.03058298 0.00004404
0.95344329 -0.05267531 0.29246458 0.05133920 0.00004325
0.86773151 0.23889545 0.32049000 -0.29539329 0.00004465
0.89909273 0.36388737 -0.23972139 -0.04185600 0.00004679
0.89765596 0.33756205 0.23433624 -0.15922347 0.00004538
0.91952121 -0.12440336 0.31215879 -0.20386617 0.00004525
0.94158733 0.04972154 0.17623572 -0.28263405 0.00004356
0.91786033 0.36774197 -0.14905113 0.00905584 0.00004479
0.89617872 -0.27383965 -0.08550397 -0.33847395 0.00004395
0.92443693 0.07970645 0.36355847 0.08299664 0.00004457
0.86721045 0.30435300 0.20472834 -0.33675149 0.00004228
0.92812300 -0.35464087 -0.03235812 -0.10849220 0.00004356
0.93233603 0.03599849 0.19581704 0.30184326 0.00004462
0.89567977 -0.29112190 -0.33500850 0.02784115 0.00004365
0.91767186 -0.26006219 -0.28162780 0.10455541 0.00004339
0.90707785 0.23613681 0.31937590 0.13945696 0.00004276
0.90506876 -0.00988508 -0.36715391 -0.21436146 0.00004544
0.91313374 0.04880429 -0.18850699 -0.35814810 0.00004647
0.91057575 0.32169759 0.03001355 -0.25780168 0.00004404
0.90592676 0.31073320 -0.28683427 0.02162518 0.00004135
0.94463956 -0.30551481 -0.04875699 0.10926839 0.00004204
0.90585065 0.34809566 0.16422088 -0.17690532 0.00004389
0.87463552 -0.26637980 0.30632299 0.26499188 0.00004510
0.94149458 0.31233546 -0.02901190 -0.12325911 0.00004393
0.87160885 0.31992242 0.32542706 -0.17901082 0.00004244
0.96126509 0.06407917 -0.26797903 -0.00710991 0.00004388
0.95623028 0.05498026 -0.27574745 -0.08101951 0.00004345
0.87552470 0.29994240 0.22983238 -0.30111152 0.00004491
0.96061176 0.20891120 -0.10602802 0.14946300 0.00004583
0.90158731 0.01195713 -0.29298186 -0.31805506 0.00004380
0.93011057 0.31102771 -0.19502884 0.01094491 0.00004346
0.94282085 0.23011519 0.22158644 -0.09505411 0.00004348
0.91074264 -0.26835796 0.31235841 0.03105018 0.00004172
0.94450378 -0.19147873 0.02029793 0.26615125 0.00004981
0.93093967 0.09812687 0.17401646 0.30568078 0.00004906
0.95110565 0.05222559 -0.24874893 -0.17548363 0.00004487
0.91845644 0.09751040 0.35702252 0.13951506 0.00004469
0.96703643 -0.09950686 -0.20772469 -0.10857876 0.00004385
0.93812239 -0.01869782 -0.32325590 -0.12281034 0.00004367
0.88148975 -0.35594988 0.08473143 -0.29848969 0.00004185
0.91153628 0.35227212 0.06311654 -0.20253950 0.00004644
0.93089211 -0.27468157 -0.23234761 -0.06328148 0.00004261
0.92152077 -0.18766417 0.27064452 -0.20575027 0.00004396
0.94257474 -0.31267118 0.05716871 -0.10257338 0.00004189
0.92191982 -0.21569531 0.09947159 0.30601427 0.00004452
0.93684363 -0.01305543 -0.21608034 -0.27470496 0.00004013
0.95008200 0.24485403 0.09689972 0.16733539 0.00004263
0.98811519 0.14032719 -0.06216007 -0.00852820 0.00004388
0.94588321 0.30263469 0.08676918 0.07866544 0.00004411
0.92938215 -0.04385190 -0.00756561 0.36642683 0.00004228
0.98901540 -0.12418611 -0.06792182 -0.04257854 0.00004606
0.91147608 -0.17914267 -0.35696337 0.09847059 0.00004487
0.91417134 0.26666358 -0.03815478 0.30286223 0.00004537
0.97557455 0.07869428 -0.10296540 -0.17736863 0.00004464
0.95262837 -0.26518050 -0.02176136 -0.14732610 0.00004417
0.95470542 -0.27277127 0.06221003 -0.10130785 0.00004414
0.86383802 0.34379449 0.18508144 0.31833014 0.00004716
